"一级原始标签","一级ID","一级中文标签","一级英文标签","二级原始标签","二级ID","二级中文标签","二级英文标签"
"办公与学习用品","office_study","办公学习","Office & Study","文具与办公用品","office_study_office_supplies","文具办公","Office Supplies"
"办公与学习用品","office_study","办公学习","Office & Study","信息与媒体","office_study_media_information","信息媒体","Media & Information"
"办公与学习用品","office_study","办公学习","Office & Study","学习与益智用品","office_study_learning_puzzles","学习益智","Learning & Puzzles"
"电子设备","electronics","数码电子","Electronics","电脑设备","electronics_computer_devices","电脑设备","Computer Devices"
"电子设备","electronics","数码电子","Electronics","电子仪器与影音设备","electronics_av_instruments","影音与电子仪器","AV & Electronic Instruments"
"电子设备","electronics","数码电子","Electronics","手机设备","electronics_communication_devices","通信设备","Communication Devices"
"动物","animals","动物","Animals","大象","animals_elephants","象类","Elephants"
"动物","animals","动物","Animals","狗","animals_dogs","犬类","Dogs"
"动物","animals","动物","Animals","海洋动物","animals_marine_life","海洋生物","Marine Life"
"动物","animals","动物","Animals","猴子","animals_primates","灵长类","Primates"
"动物","animals","动物","Animals","狐","animals_foxes","狐类","Foxes"
"动物","animals","动物","Animals","蝴蝶与飞蛾","animals_butterflies_moths","蝴蝶飞蛾","Butterflies & Moths"
"动物","animals","动物","Animals","昆虫","animals_insects","昆虫","Insects"
"动物","animals","动物","Animals","狼","animals_wolves","狼类","Wolves"
"动物","animals","动物","Animals","老虎","animals_tigers","老虎","Tigers"
"动物","animals","动物","Animals","两栖动物","animals_amphibians","两栖类","Amphibians"
"动物","animals","动物","Animals","马","animals_horses_zebras","马类","Horses & Zebras"
"动物","animals","动物","Animals","猫","animals_domestic_cats","家猫","Domestic Cats"
"动物","animals","动物","Animals","猫科动物","animals_wild_cats","野生猫科","Wild Cats"
"动物","animals","动物","Animals","鸟类","animals_birds","鸟类","Birds"
"动物","animals","动物","Animals","啮齿动物","animals_rodents","啮齿类","Rodents"
"动物","animals","动物","Animals","牛","animals_cattle","牛类","Cattle"
"动物","animals","动物","Animals","牛羊类有蹄动物","animals_hoofed_mammals","有蹄动物","Hoofed Mammals"
"动物","animals","动物","Animals","爬行动物","animals_reptiles","爬行动物","Reptiles"
"动物","animals","动物","Animals","其他哺乳动物","animals_other_mammals","其他哺乳类","Other Mammals"
"动物","animals","动物","Animals","蛇类","animals_snakes","蛇","Snakes"
"动物","animals","动物","Animals","狮子","animals_lions","狮子","Lions"
"动物","animals","动物","Animals","兔","animals_rabbits","兔类","Rabbits"
"动物","animals","动物","Animals","熊","animals_bears","熊类","Bears"
"动物","animals","动物","Animals","熊猫","animals_pandas","熊猫","Pandas"
"动物","animals","动物","Animals","羊","animals_sheep_goats","羊类","Sheep & Goats"
"动物","animals","动物","Animals","鱼类与水生脊椎动物","animals_fish_aquatic_vertebrates","鱼类与水生脊椎","Fish & Aquatic Vertebrates"
"动物","animals","动物","Animals","猪","animals_pigs","猪类","Pigs"
"动物","animals","动物","Animals","蛛形纲与多足类","animals_spiders_similar_creatures","蛛类与多足","Spiders & Similar Creatures"
"服装与配饰","apparel_accessories","服饰配件","Apparel & Accessories","服装","apparel_accessories_clothing","服装","Clothing"
"服装与配饰","apparel_accessories","服饰配件","Apparel & Accessories","配饰","apparel_accessories_accessories","配件","Accessories"
