一级类别,二级类别,数量,三级标签,,,,,,,,,,,,,,,,
乐器与音响,乐器,27,accordion（手风琴），acoustic_guitar（原声吉他），banjo（班卓琴），bassoon（巴松管），brass（铜制牌位），cello（大提琴），cornet（短号），drum（鼓），electric_guitar（电吉他），flute（长笛），French_horn（圆号），gong（锣），grand_piano（钢琴），harmonica（口琴），harp（竖琴），maraca（沙球（一种打击乐器）），marimba（马林巴木琴），oboe（双簧管），ocarina（小鹅笛），organ（风琴），pan_flute（排箫），saxophone（萨克斯管），steel_drum（钢滚筒），trombone（长号），upright_piano（直立式钢琴），violin（小提琴），whistle（哨子）,,,,,,,,,,,,,,,,
,乐器配件,3,chime（风铃），drumstick（鼓槌），plectrum（拨弦片）,,,,,,,,,,,,,,,,
交通工具,交通部件,8,car_mirror（车镜），car_wheel（车轮），disc_brake（盘式制动器），grille（散热器格栅），oil_filter（滤油器），paddle_wheel（明轮），seat_belt（安全带），wing（机翼）,,,,,,,,,,,,,,,,
,人力与畜力车辆,3,horse-drawn_vehicle（马车），pulled_rickshaw（人力车），bullock_cart（牛车）,,,,,,,,,,,,,,,,
,工程与农用车辆,3,forklift（叉车），harvester（联合收割机），threshing_machine（打谷机）,,,,,,,,,,,,,,,,
,汽车,31,ambulance（救护车），amphibious_vehicle（水陆两用车），station_wagon（旅行车），taxicab（出租车），convertible（敞篷车），fire_engine（消防车），garbage_truck（垃圾车），go-kart（卡丁车），golf_cart（高尔夫球车），half-track（半履带装甲车），jeep（吉普车），limousine（豪华轿车），minibus（迷你巴士），minivan（小型货车），Model_T（福特T型车），moped（电瓶车），scooter（踏板式摩托车），moving_van（搬家货车），pickup_truck（皮卡车），police_van（警车），race_car（赛车），recreational_vehicle（休闲车），school_bus（校车），snowmobile（摩托雪橇），snowplow（扫雪机），sports_car（跑车），tank（坦克），tow_truck（拖车），tractor（拖拉机），semi-trailer_truck（半挂式卡车），trolleybus（无轨电车）,,,,,,,,,,,,,,,,
,自行车,4,tandem_bicycle（双人骑自行车），mountain_bike（山地自行车），tricycle（三轮车），unicycle（独轮车）,,,,,,,,,,,,,,,,
,船,15,aircraft_carrier（航空母舰），canoe（独木舟），catamaran（双体船），container_ship（集装箱船），fireboat（消防船），gondola（缆车），lifeboat（救生艇），ocean_liner（远洋班轮），pirate_ship（海盗船），schooner（帆船），motorboat（快艇），submarine（潜水艇），trimaran（三体船），shipwreck（沉船），yawl（双桅船）,,,,,,,,,,,,,,,,
,轨道车辆,8,bobsleigh（双人雪橇），high-speed_train（高铁），dog_sled（狗拉雪橇），electric_locomotive（电力机车），freight_car（运货车厢），passenger_car（有轨电车），steam_locomotive（蒸汽机车），tram（有轨电车）,,,,,,,,,,,,,,,,
,飞机,4,airliner（客机），airship（飞艇），space_shuttle（航天飞机），military_aircraft（军用飞机）,,,,,,,,,,,,,,,,
,飞行与降落装备,1,parachute（降落伞）,,,,,,,,,,,,,,,,
人物,人物,3,baseball_player（棒球运动员），bridegroom（新郎），scuba_diver（潜水员）,,,,,,,,,,,,,,,,
体育与娱乐,体育用品,24,balance_beam（平衡木），barbell（杠铃），baseball（棒球），basketball（篮球），croquet_ball（槌球），dumbbell（哑铃），football_helmet（橄榄球头盔），golf_ball（高尔夫球），horizontal_bar（单杠），knee_pad（护膝），paddle（船桨），parallel_bars（双杠），ping-pong_ball（乒乓球），billiard_table（台球桌），hockey_puck（冰球），punching_bag（沙包），racket（球拍），rugby_ball（橄榄球），scoreboard（记分牌），ski（滑雪板），snorkel（潜水通气管），soccer_ball（足球），tennis_ball（网球），volleyball（排球）,,,,,,,,,,,,,,,,
,玩具与娱乐,7,balloon（气球），carousel（旋转木马），maypole（花柱），pinwheel（风车），slot_machine（角子老虎机），teddy_bear（泰迪熊），toy_store（玩具店）,,,,,,,,,,,,,,,,
办公与学习用品,信息与媒体,5,automated_teller_machine（取款机），website（网站），comic_book（漫画），crossword（纵横字谜），menu（菜单）,,,,,,,,,,,,,,,,
,学习与益智用品,1,jigsaw_puzzle（拼图）,,,,,,,,,,,,,,,,
,文具与办公用品,12,abacus（算盘），ballpoint_pen（圆珠笔），ring_binder（活页夹），envelope（信封），fountain_pen（钢笔），mail_bag（邮袋），pencil_case（铅笔盒），pencil_sharpener（卷笔刀），quill（羽管笔），eraser（橡皮），ruler（直尺），slide_rule（滑尺）,,,,,,,,,,,,,,,,
动物,两栖动物,8,fire_salamander（欧洲火蝾螈），smooth_newt（欧洲蝾螈），newt（蝾螈），spotted_salamander（斑点钝口螈），axolotl（六角恐龙），American_bullfrog（美国牛蛙），tree_frog（树蛙），tailed_frog（尾蟾）,,,,,,,,,,,,,,,,
,兔,3,cottontail_rabbit（棉尾兔），hare（野兔），Angora_rabbit（安哥拉兔）,,,,,,,,,,,,,,,,
,其他哺乳动物,20,echidna（澳洲针鼹），platypus（鸭嘴兽），wallaby（沙袋鼠），koala（考拉），wombat（袋熊），hyena（鬣狗），mongoose（侏獴），meerkat（狐獴），hippopotamus（河马），dromedary（阿拉伯单峰骆驼），llama（大羊驼），weasel（黄鼠狼），mink（水貂），European_polecat（欧洲臭鼬），black-footed_ferret（黑足鼬），otter（水獭），skunk（臭鼬），badger（獾），armadillo（犰狳），three-toed_sloth（三趾树懒）,,,,,,,,,,,,,,,,
,啮齿动物,6,hamster（仓鼠），porcupine（刺猬），fox_squirrel（狐松鼠），marmot（土拨鼠），beaver（海狸），guinea_pig（豚鼠）,,,,,,,,,,,,,,,,
,大象,3,tusker（巨齿动物），Asian_elephant（亚洲象），African_bush_elephant（非洲草原象）,,,,,,,,,,,,,,,,
,昆虫,21,tiger_beetle（虎甲），ladybug（瓢虫），ground_beetle（步甲），longhorn_beetle（天牛），leaf_beetle（金花虫），dung_beetle（蜣螂），rhinoceros_beetle（犀金龟），weevil（象鼻虫），fly（苍蝇），bee（蜜蜂），ant（蚂蚁），grasshopper（草蜢），cricket（蟋蟀），stick_insect（竹节虫），cockroach（蟑螂），mantis（螳螂），cicada（蝉），leafhopper（叶蝉），lacewing（草蜻蛉），dragonfly（蜻蜓），damselfly（豆娘）,,,,,,,,,,,,,,,,
,海洋动物,27,jellyfish（水母），sea_anemone（海葵），brain_coral（脑珊瑚），flatworm（扁虫），nematode（线虫），conch（海螺），snail（蜗牛），slug（鼻涕虫），sea_slug（海蛞蝓），chiton（石鳖），chambered_nautilus（鹦鹉螺），Dungeness_crab（珍宝蟹），rock_crab（红黄道蟹），fiddler_crab（招潮蟹），red_king_crab（阿拉斯加帝王蟹），American_lobster（美国龙虾），spiny_lobster（断沟龙虾），crayfish（小龙虾），hermit_crab（寄居蟹），isopod（大王具足虫），grey_whale（灰鲸），killer_whale（杀人鲸），dugong（儒艮），sea_lion（海狮），starfish（海星），sea_urchin（海胆），sea_cucumber（海参）,,,,,,,,,,,,,,,,
,熊,4,brown_bear（棕熊），American_black_bear（美洲黑熊），polar_bear（北极熊），sloth_bear（懒熊）,,,,,,,,,,,,,,,,
,熊猫,2,red_panda（小熊猫），giant_panda（大熊猫）,,,,,,,,,,,,,,,,
,爬行动物,19,loggerhead_sea_turtle（红海龟），leatherback_sea_turtle（棱皮龟），mud_turtle（东方动胸龟），terrapin（钻纹龟），box_turtle（箱龟），banded_gecko（豹紋壁虎），green_iguana（绿鬣蜥），Carolina_anole（安禄蜥），desert_grassland_whiptail_lizard（沙漠鞭尾蜥蜴），agama（彩虹鬣蜥），frilled-necked_lizard（伞蜥蜴），alligator_lizard（鳄蜥），Gila_monster（美國毒蜥），European_green_lizard（欧洲绿蜥蜴），chameleon（变色龙），Komodo_dragon（科莫多巨蜥），Nile_crocodile（尼罗鳄），American_alligator（美国短吻鳄），triceratops（三角龙）,,,,,,,,,,,,,,,,
,牛,3,ox（公牛），water_buffalo（水牛），bison（美洲野牛）,,,,,,,,,,,,,,,,
